deal_name,stage,owner,last_activity_date,next_step,next_step_date,expected_close_date,value,blockers,notes
Apex Labs,Proposal,S. Patel,2025-05-10,"Finalize ROI and sign-off with VP Ops",2025-07-10,2025-07-12,220000,"Waiting on VP Ops availability","Initial proposal sent; procurement pre-checked."
Beacon Corp,Negotiation,M. Chen,2025-03-20,,,"2025-07-01",210000,"Sponsor left company","Pricing discussed in March; went dark."
Cirrus Cloud,Discovery,A. Reyes,2025-06-15,"Technical deep-dive with DevOps",2025-07-25,2025-09-05,60000,"Only one champion engaged","Active thread; waiting for architect's availability."
Dynatek Solutions,Evaluation,K. Nguyen,2025-06-24,"Pilot kickoff",2025-07-05,2025-08-15,50000,"Security review scheduled","Stakeholders responsive; pilot approved."
Eclipse Healthcare,Qualification,J. Lee,2025-02-28,,,"2025-10-01",90000,"Budget freeze","No replies since February."
Falcon Retail,Discovery,R. Allen,2025-05-20,,,"2025-09-15",70000,"Competing initiative taking priority","Spoke with buyer; asked to reconnect in Q4."
Gemini Systems,Proposal,T. Morgan,2025-05-18,"Executive review of proposal",2025-07-20,2025-07-18,180000,"No CFO confirmation yet","Proposal version 2 sent; awaiting meeting."
Halo Networks,Qualification,B. Alvarez,2025-06-18,"Discovery workshop",2025-07-08,2025-08-30,40000,"Calendar congestion","Champion booked workshop; good engagement."
Ion Commerce,Evaluation,D. Singh,2025-05-29,"Contract redlines review",2025-07-02,2025-07-08,120000,"Legal requested changes","Buying signals present; timing tight."
Jupiter Inc,Negotiation,E. Brooks,2025-05-05,"Finalize MSA and SOW",2025-07-18,2025-07-15,240000,"Security sign-off pending","CTO supportive; procurement slow."
Kestrel AI,Proposal,P. Hart,2025-05-02,"Board brief prior to approval",2025-07-22,2025-07-25,170000,"Board cadence limited","Strong technical fit; org risk remains."
Lumen Finance,Discovery,H. Rivera,2025-06-22,"Compliance Q&A",2025-07-07,2025-09-10,45000,"Compliance constraints","Good momentum and scheduled meeting."
Matrix Analytics,Evaluation,C. Wright,2025-03-01,,,"2025-11-01",80000,"Platform migration delayed","No movement since March."
