date,city,venue,country,attendance_estimate,encore_count,personal_rating,notes
2017-05-12,Canberra,ANU Bar,Australia,900,1,9,Home crowd energy; surprise extended intro
2018-09-21,Sydney,Enmore Theatre,Australia,1600,2,10,Surprise second encore; crowd singing every word
2019-03-15,Melbourne,The Forum,Australia,2000,1,9,Incredible light show; tight vocals
2019-03-22,Brisbane,The Tivoli,Australia,1500,1,8,Great sound; minor tech hiccup resolved quickly
2020-02-08,Perth,Astor Theatre,Australia,1100,0,8,Intimate set; acoustic section
2020-02-15,Adelaide,Thebarton Theatre,Australia,1300,1,8,Enthusiastic crowd; strong encore
2021-05-07,Newcastle,Civic Theatre,Australia,1200,1,9,Tight performance; fun banter
2022-04-02,Sydney,Hordern Pavilion,Australia,5000,2,10,Biggest production I’ve seen them do
2022-04-09,Melbourne,Festival Hall,Australia,5400,2,9,Massive crowd; lasers everywhere
2023-11-18,Canberra,UC Refectory,Australia,2200,1,9,Emotional hometown speech
2019-06-10,Auckland,Powerstation,New Zealand,1000,1,8,Solid set; first time overseas
2018-11-30,London,Electric Brixton,UK,1500,1,9,Packed room; unforgettable
