id,date,channel,district,stance,text
1,2025-02-01,Email,A,support,"As a downtown resident I support safer crosswalks and more bus lanes to reduce crashes and delays."
2,2025-02-01,Hotline,A,oppose,"Please do not remove parking on Main Street. Small businesses will suffer and older residents will be stranded."
3,2025-02-02,Social,A,support,"Great plan. Prioritize sidewalks and bus shelters so people without cars can get around with dignity."
4,2025-02-02,Form,A,neutral,"I need more details about cost and timeline before deciding."
5,2025-02-03,Email,A,oppose,"I am worried that the plan shifts costs onto working families without delivering benefits in our neighborhood. I drive my grandchildren to school and these proposed lane changes will make that trip slower and more stressful every single day. Please reconsider and study alternatives that keep parking."
6,2025-02-03,Social,A,support,"More reliable buses and safe crossings will help our seniors and students."
7,2025-02-04,Hotline,A,support,"I support the bus-only lane on First Avenue and better lighting at stops."
8,2025-02-04,Form,A,oppose,"I oppose removing two lanes on Broad Street because congestion is already bad during events."
9,2025-02-05,Email,B,oppose,"Do not add bike lanes here. Emergency vehicles already face delays and this will make it worse."
10,2025-02-05,Social,B,support,"I support the plan. Slower speeds and better crossings will save lives."
11,2025-02-06,Hotline,B,oppose,"Property taxes are high and we cannot afford this."
12,2025-02-06,Email,B,support,"I strongly support investing in transit priority and safer intersections because my commute is unreliable and my kids cannot safely cross the street to reach the library. The plan gives our neighborhood choices beyond driving alone and helps people with disabilities by improving curb ramps and signals. This is overdue and will improve access."
13,2025-02-07,Form,B,support,"Bus lanes will make trips more predictable for workers with shift jobs."
14,2025-02-07,Social,B,oppose,"This plan ignores delivery needs for small shops and will hurt weekend business."
15,2025-02-08,Email,B,neutral,"I would like to see the maintenance budget before supporting the plan."
16,2025-02-08,Hotline,B,oppose,"Please keep all existing car lanes. We depend on them for school drop off."
17,2025-02-09,Form,C,support,"The plan will make it easier to walk with strollers and help buses stay on time."
18,2025-02-09,Email,C,support,"I support bus bulbs and protected intersections to reduce injuries."
19,2025-02-10,Social,C,oppose,"As a delivery driver I worry about loading space but I accept that safety is important. However I think the city should phase changes in and add clear signage for detours. If loading zones are adjusted fairly and hours are coordinated with businesses, I would be more open to the corridor redesign."
20,2025-02-10,Hotline,C,support,"Please add more shade at stops and longer crossing times for seniors."
21,2025-02-11,Email,C,support,"Protected bike lanes and slower speeds will reduce severe crashes for everyone."
22,2025-02-11,Form,C,neutral,"I am undecided and want to see a pilot first."
23,2025-02-12,Social,C,oppose,"Parking loss near the clinic is a concern for patients with limited mobility."
24,2025-02-12,Email,C,support,"I support transit priority so buses stop bunching during rush hour."
