date,ticker,earnings,gap_pct,volume_vs_20d,first_30m_high,entry_time,entry_price,prev_close,vwap_30m,exit_time,exit_price,direction,stop_loss_pct,profit_target_pct,market_cap_usd,avg_volume_20d,comment
2018-02-01,AAPL,True,2.6,2.2,170.50,10:31,170.59,166.30,169.80,15:50,173.40,long,1.8,3.0,860000000000,28000000,"Earnings day, gap +2.6%, 2.2x volume, breakout above 30m high"
2018-04-26,AMZN,True,3.1,2.8,1585.00,10:31,1585.79,1538.88,1579.30,16:00,1627.50,long,1.8,3.0,700000000000,6000000,"Strong beat, clean early structure, 2.8x vol"
2018-07-19,MSFT,True,2.3,2.1,105.60,10:30,105.65,103.20,105.10,15:58,108.50,long,1.8,3.0,800000000000,25000000,"Breakout triggered; trend day"
2018-10-25,AMZN,True,2.1,2.0,1690.00,10:31,1690.85,1655.00,1684.20,13:10,1660.00,long,1.8,3.0,770000000000,6500000,"High vol regime; false break, stopped later"
2019-01-31,FB,True,3.5,2.6,170.20,10:30,170.29,164.25,169.50,16:00,174.80,long,1.8,3.0,470000000000,22000000,"Gap and go; 2.6x vol"
2019-04-24,TSLA,True,2.2,1.9,265.00,10:31,265.13,259.40,263.90,15:20,260.40,long,1.8,3.0,47000000000,8500000,"Volume ratio barely misses 2.0; discretionary include; should standardize to exclude"
2019-07-25,GOOGL,True,2.9,2.4,1250.00,10:31,1250.63,1210.30,1246.90,15:45,1283.00,long,1.8,3.0,800000000000,1500000,"Clean continuation after breakout"
2019-10-24,INTC,True,2.0,2.1,53.20,10:31,53.23,52.20,53.00,16:00,54.40,long,1.8,3.0,230000000000,18000000,"Meets minimum gap and volume"
2020-02-04,GOOGL,True,2.4,2.0,1480.00,10:31,1480.74,1445.00,1476.20,13:05,1453.00,long,1.8,3.0,990000000000,1600000,"Volatile session; stopped after midday reversal"
2020-05-01,AAPL,True,2.8,2.7,297.50,10:30,297.65,289.07,296.90,16:00,304.20,long,1.8,3.0,1200000000000,30000000,"Post-COVID bounce regime; strong trend"
2020-07-31,AMZN,True,3.8,3.0,3220.00,10:31,3221.61,3100.00,3215.50,15:10,3318.00,long,1.8,3.0,1500000000000,7000000,"Power trend day; profit target hit"
2020-10-29,MSFT,True,2.1,2.3,216.40,10:31,216.51,212.40,215.80,12:45,212.70,long,1.8,3.0,1600000000000,28000000,"Failed breakout; stop triggered"
2021-01-28,AAPL,True,2.5,2.5,145.30,10:31,145.37,141.00,144.90,16:00,148.40,long,1.8,3.0,2200000000000,100000000,"Liquid mega cap; steady push intraday"
2021-04-29,AMD,True,2.7,2.2,84.60,10:31,84.64,82.40,84.20,15:30,87.20,long,1.8,3.0,100000000000,45000000,"Momentum continuation after earnings"
2021-07-28,F,True,2.0,2.1,14.50,10:31,14.51,14.20,14.40,12:20,14.20,long,1.8,3.0,55000000000,80000000,"Small loss; stop hit"
2021-10-27,MSFT,True,2.2,2.0,323.10,10:31,323.26,316.00,322.50,16:00,331.20,long,1.8,3.0,2300000000000,26000000,"Close into highs; EOD exit"
2022-02-03,AMZN,True,3.2,2.6,3040.00,10:30,3041.52,2940.00,3035.10,13:35,2984.00,long,1.8,3.0,1600000000000,6500000,"High volatility; partial follow-through then reversal"
2022-05-05,NFLX,True,2.1,2.3,205.00,10:31,205.10,198.40,204.20,16:00,208.40,long,1.8,3.0,90000000000,30000000,"Meets criteria; modest EOD gain"
2022-08-25,NVDA,True,2.4,2.5,180.30,10:31,180.39,176.20,179.90,14:10,177.20,long,1.8,3.0,450000000000,40000000,"Failed after midday; stop hit"
2022-11-03,ABNB,True,2.7,2.2,115.80,10:31,115.86,112.80,115.20,16:00,118.90,long,1.8,3.0,75000000000,9000000,"Continuation; EOD exit"
2023-02-02,META,True,4.5,3.1,190.80,10:31,190.99,182.00,189.90,15:05,196.50,long,1.8,3.0,450000000000,25000000,"Large gap and strong volume; target hit"
2023-05-25,NVDA,True,5.8,3.4,385.00,10:31,385.19,365.00,383.60,12:10,396.50,long,1.8,3.0,900000000000,50000000,"Exceptional continuation; target hit quickly"
2023-08-24,CRM,True,2.3,2.1,215.40,10:31,215.51,210.30,214.90,16:00,219.80,long,1.8,3.0,210000000000,9000000,"Meets minimums; grind up into close"
2024-02-02,AAPL,True,2.1,2.0,186.40,10:31,186.50,182.90,185.90,13:40,183.20,long,1.8,3.0,2900000000000,60000000,"High vol session; stop hit after reversal"
2024-05-01,MSFT,True,2.9,2.7,408.20,10:31,408.41,397.80,407.40,16:00,415.90,long,1.8,3.0,3000000000000,28000000,"Strong trend; EOD exit near highs"
2024-08-02,AMZN,True,3.0,2.5,178.60,10:31,178.69,173.40,178.00,11:50,183.00,long,1.8,3.0,1900000000000,9000000,"Target hit before midday"
2024-11-07,GOOGL,True,2.2,2.1,151.30,10:31,151.38,148.10,150.90,16:00,153.90,long,1.8,3.0,1800000000000,22000000,"Meets criteria; EOD exit"
