SKU,description,unit_cost
DRAIN-GLOVES,Nitrile gloves pair,2
PTRAP-WASHER-1.5,P-trap washer 1.5in,2
DRAIN-CABLE-TIP,Replacement cable tip,5
DRAIN-ENZ,Enzymatic drain treatment,12
WH50G,50-gallon gas water heater,750
WH40G,40-gallon gas water heater,680
TANKLESS-120K,Tankless water heater 120k BTU,1000
TNKL-ISOLATION-KIT,Tankless isolation valve kit,95
VENT-KIT-TNKL,Tankless vent kit,120
CONDENSATE-KIT,Condensate neutralizer kit,35
GAS-FLEX-3/4,3/4in gas flex connector,28
GAS-VALVE-3/4,3/4in gas shutoff valve,22
FLX-CNCTR-3/4,3/4in water heater flex connector,18
DIELECTRIC-UNION-3/4,3/4in dielectric union,9
TNP-VALVE,T&P relief valve 3/4in,16
COPPER-3/4-FT,3/4in copper pipe per foot,3
SOLDER-KIT,Solder, flux, emery cloth kit,12
TEFLON-TAPE,PTFE thread seal tape,1
EXP-TANK-2GAL,2-gallon expansion tank,52
ANODE-ROD-STD,Standard anode rod,28
FILL-VALVE,Universal toilet fill valve,18
FLAPPER-UNIV,Universal flapper,9
TOILET-BOLT-KIT,Closet bolts and caps kit,4
WAX-RING,Wax ring with flange,4
TOILET-ELONG-MID,Elongated toilet mid-grade,180
SUPPLY-LINE-3/8-20,3/8in toilet supply line 20in,8
FAUCET-KITCHEN-MID,Kitchen faucet mid-grade,160
SUPPLY-LINE-1/2-3/8,1/2in to 3/8in braided supply line,7
DISPOSAL-3/4HP,3/4 HP garbage disposal,140
DISPOSAL-CORD,Disposal power cord,10
GARBAGE-DRAIN-KIT,Disposal drain kit,12
PRV-3/4,3/4in pressure reducing valve,110
THREAD-SEALANT,Pipe thread sealant,5
HOSE-BIBB-1/2,1/2in frost-proof hose bibb,16
ANGLE-STOP-3/8,3/8in angle stop valve,7
SHWR-CARTRIDGE-UNIV,Universal shower cartridge,45
SHWR-VALVE-ROUGH,Shower mixing valve rough-in,95
SHWR-TRIM-SET,Shower trim set,120
PEX-COIL-1/2-100,1/2in PEX coil 100ft,59
PEX-FIT-1/2-ELBOW,1/2in PEX elbow,2
PEX-FIT-1/2-TEE,1/2in PEX tee,2.5
DISHWASHER-INSTALL-KIT,Dishwasher install kit,32
ICEMAKER-KIT,Icemaker line install kit,28
FILTER-HOUSING-BB,Big Blue filter housing,145
FILTER-CARTRIDGE-BB,Big Blue carbon cartridge,40
WATER-SOFTENER-48K,48k grain water softener,850
SOFTENER-FLEX-LN-1IN,1in softener flex connector,22
DRAIN-TUBE-1/2IN-10FT,1/2in drain tube 10ft,12
PVC-2IN-PIPE-10FT,2in PVC pipe 10ft,18
PVC-WYE-2IN,2in PVC Wye fitting,7
CLEANOUT-PLUG-2IN,2in cleanout plug,3
PRIMER-CEMENT,PVC primer and cement kit,12
TRAP-P-1-1/2,1-1/2in P-trap kit,6
