keyword,volume,competition
meal planner,120000,58
meal planning app,88000,62
nutrition tracker,62000,55
calorie counter,210000,72
macro tracker,150000,60
food diary,95000,64
healthy recipes,240000,70
grocery list,180000,68
keto meal plan,90000,66
vegetarian meal plan,54000,52
weight loss meal plan,110000,65
gluten free recipes,80000,61
low carb recipes,100000,63
clean eating,45000,57
intermittent fasting app,70000,69
diet planner,98000,59
meal prep,130000,67
weekly meal planner,76000,54
family meal planner,52000,49
grocery shopping list,60000,58
barcode scanner food,42000,46
recipe organizer,55000,50
budget meals,37000,44
protein tracker,68000,56
fiber tracker,24000,40
sugar tracker,30000,42
water intake tracker,120000,73
diabetes meal planner,28000,48
low sodium recipes,22000,43
pescatarian meal plan,16000,38
plant based meal plan,48000,51
healthy dinner recipes,140000,66
AI meal planner,35000,41
smart meal plan,26000,39
pantry inventory,18000,37
grocery delivery list,27000,45
