month,sku,units_sold,gross_revenue,referral_fees,fba_fees,ad_spend,returns,cogs_total
2025-10,TB-TentPro-2P,220,39380.00,5907.00,1870.00,4331.80,10,13640.00
2025-10,TB-CookKit-4,480,28320.00,4248.00,1920.00,2548.80,24,8640.00
2025-10,TB-HeadlampX,750,26242.50,3936.38,2250.00,2099.40,38,6750.00
2025-10,TB-UltraTrek-Poles,310,27897.00,4184.55,1860.00,2231.76,15,8680.00
2025-11,TB-TentPro-2P,238,42602.00,6390.30,2023.00,4686.22,11,14756.00
2025-11,TB-CookKit-4,520,30680.00,4602.00,2080.00,2914.60,26,9360.00
2025-11,TB-HeadlampX,810,28341.90,4251.29,2430.00,2550.77,41,7290.00
2025-11,TB-UltraTrek-Poles,335,30146.65,4522.00,2010.00,2562.47,16,9380.00
2025-12,TB-TentPro-2P,300,53700.00,8055.00,2550.00,6444.00,15,18600.00
2025-12,TB-CookKit-4,720,42480.00,6372.00,2880.00,4248.00,36,12960.00
2025-12,TB-HeadlampX,1050,36739.50,5510.93,3150.00,3673.95,52,9450.00
2025-12,TB-UltraTrek-Poles,420,37795.80,5669.37,2520.00,3401.62,21,11760.00
2026-01,TB-TentPro-2P,210,37590.00,5638.50,1785.00,3383.10,10,13020.00
2026-01,TB-CookKit-4,460,27140.00,4071.00,1840.00,2171.20,23,8280.00
2026-01,TB-HeadlampX,680,23793.20,3568.98,2040.00,1903.46,34,6120.00
2026-01,TB-UltraTrek-Poles,290,26097.10,3914.57,1740.00,2087.77,14,8120.00
2026-02,TB-TentPro-2P,240,42960.00,6444.00,2040.00,4296.00,11,14880.00
2026-02,TB-CookKit-4,500,29500.00,4425.00,2000.00,2655.00,25,9000.00
2026-02,TB-HeadlampX,720,25192.80,3778.92,2160.00,2015.42,36,6480.00
2026-02,TB-UltraTrek-Poles,320,28796.80,4319.52,1920.00,2303.74,15,8960.00
2026-03,TB-TentPro-2P,340,60860.00,9129.00,2890.00,7303.20,17,21080.00
2026-03,TB-CookKit-4,620,36580.00,5487.00,2480.00,3292.20,31,11160.00
2026-03,TB-HeadlampX,900,31491.00,4723.65,2700.00,2991.65,43,8100.00
2026-03,TB-UltraTrek-Poles,410,36895.90,5534.39,2460.00,3320.63,20,11480.00
