invoice_id,client,issue_date,due_date,amount_gbp,status,paid_date
INV-1001,GreenLeaf Media,2023-10-02,2023-10-16,450.00,paid,2023-10-20
INV-1002,Northstar Ltd,2023-10-10,2023-10-24,1200.00,unpaid,
INV-1003,Coastal Tiles,2023-10-15,2023-10-29,800.00,paid,2023-11-03
INV-1004,Brighton Bikes,2023-11-01,2023-11-15,650.00,paid,2023-11-12
INV-1005,OxTech,2023-11-05,2023-11-19,950.00,unpaid,
INV-1006,GreenLeaf Media,2023-11-18,2023-12-02,400.00,paid,2023-12-05
INV-1007,Northstar Ltd,2023-11-25,2023-12-09,700.00,paid,2023-12-28
INV-1008,Coastal Tiles,2023-12-02,2023-12-16,1200.00,unpaid,
INV-1009,Brighton Bikes,2023-12-10,2023-12-24,500.00,paid,2023-12-23
INV-1010,OxTech,2023-12-12,2023-12-26,300.00,unpaid,
INV-1011,GreenLeaf Media,2023-12-20,2024-01-03,650.00,unpaid,
INV-1012,Northstar Ltd,2023-12-22,2024-01-05,950.00,unpaid,
