name,category,lat,lon,description
Skanderbeg Square,square,41.3275,19.8187,Central plaza and meeting point.
National History Museum,museum,41.33,19.8189,Albania's story told with artifacts.
Et'hem Bey Mosque,religious,41.3276,19.8182,18th-century mosque by the square.
Clock Tower of Tirana,landmark,41.3277,19.8184,Iconic clock tower with views.
Pyramid of Tirana,landmark,41.3218,19.819,Controversial pyramid-shaped structure.
House of Leaves,museum,41.327,19.8158,Former surveillance HQ turned museum.
Rinia Park,park,41.3264,19.8172,Green park near the center.
National Arts Gallery,museum,41.329,19.82,Collections of Albanian art.
Pazari i Ri (New Bazaar),market,41.3305,19.824,Fresh produce and cafes.
Tanners' Bridge,bridge,41.3298,19.8245,Ottoman-era stone footbridge.
Blloku District,neighborhood,41.3203,19.816,Lively area of bars and cafes.
Grand Park of Tirana (Artificial Lake),park,41.3125,19.8236,Large park around the artificial lake.
