date,amount,description
2024-04-02,-1250.00,ACH PAYROLL DELTA PAYROLL PAYRUN 4821 PR 4821
2024-04-03,-650.25,WIRE RENT METRO PROPERTIES INV 4001
2024-04-05,-215.50,CARD PURCHASE FRESHBEAN COFFEE VEND2311
2024-04-07,1500.00,CLIENT PAYMENT NORTHWIND STORES CUST7788 INV 7842
2024-04-10,-320.00,ACH PAYMENT APEX LOGISTICS INV 9031
2024-04-12,-485.00,TAX PAYMENT FEDERAL TAX BAT-5523
2024-04-15,-300.00,CARD PURCHASE GREENLEAF FOODS
2024-04-16,-420.00,ACH PAYMENT REDSTONE LABS BAT-5627
2024-04-18,-275.40,DEBIT CARD HARBOR MEDICAL
2024-04-20,842.35,CLIENT PAYMENT RIVERTON SCHOOL CUST8899 INV 8009
2024-04-22,-98.75,CARD PURCHASE FRESHBEAN COFFEE
2024-04-24,-1000.00,ACH PAYROLL DELTA PAYROLL PAYRUN 4822 PR 4822
2024-04-25,-399.99,ACH PAYMENT APEX LOGISTICS INV 9040
2024-04-27,1200.00,CLIENT PAYMENT NORTHWIND STORES CUST7788 INV 7849
2024-04-28,-23.45,ATM WITHDRAWAL FEE
2024-04-29,-150.00,CARD PURCHASE REDSTONE LABS
2024-04-30,500.00,CLIENT PAYMENT GREENLEAF FOODS CUST9012 INV 8110
