order_id,order_date,discount_code,customer_id,gross_revenue,utm_source,utm_medium,utm_campaign
M2026-03-0001,2026-03-02,FITGURU,C1001,120.00,instagram,organic,fit_march_push
M2026-03-0002,2026-03-03,FITGURU,C1002,130.00,tiktok,organic,fit_march_push
M2026-03-0003,2026-03-04,FITGURU,C1003,115.00,youtube,affiliate,trainer_codes
M2026-03-0004,2026-03-05,FITGURU,C1004,140.00,blog,referral,wellness_partners
M2026-03-0005,2026-03-06,FITGURU,C1005,95.00,instagram,organic,fit_march_push
M2026-03-0006,2026-03-07,FITGURU,C1006,125.00,newsletter,email,weekly_drop
M2026-03-0007,2026-03-09,FITGURU,C1007,110.00,tiktok,organic,fit_march_push
M2026-03-0008,2026-03-10,FITGURU,C1008,160.00,youtube,affiliate,trainer_codes
M2026-03-0009,2026-03-12,FITGURU,C1009,100.00,blog,referral,wellness_partners
M2026-03-0010,2026-03-13,FITGURU,C1010,105.00,instagram,organic,fit_march_push
M2026-03-0011,2026-03-15,FITGURU,C1011,150.00,youtube,affiliate,trainer_codes
M2026-03-0012,2026-03-16,FITGURU,C1012,135.00,newsletter,email,weekly_drop
M2026-03-0013,2026-03-18,FITGURU,C1013,90.00,instagram,organic,fit_march_push
M2026-03-0014,2026-03-20,FITGURU,C1014,145.00,tiktok,organic,fit_march_push
M2026-03-0015,2026-03-22,FITGURU,C1015,155.00,blog,referral,wellness_partners
M2026-03-0016,2026-03-24,FITGURU,C1016,98.00,youtube,affiliate,trainer_codes
M2026-03-0017,2026-03-26,FITGURU,C1017,112.00,newsletter,email,weekly_drop
M2026-03-0018,2026-03-28,FITGURU,C1018,128.00,instagram,organic,fit_march_push
M2026-03-0019,2026-03-02,BEAUTY15,C2001,85.00,instagram,organic,beauty_spring
M2026-03-0020,2026-03-05,BEAUTY15,C2002,90.00,tiktok,organic,beauty_spring
M2026-03-0021,2026-03-08,BEAUTY15,C2003,120.00,youtube,affiliate,beauty_codes
M2026-03-0022,2026-03-11,BEAUTY15,C2004,75.00,blog,referral,beauty_spring
M2026-03-0023,2026-03-14,BEAUTY15,C2005,95.00,instagram,organic,beauty_spring
M2026-03-0024,2026-03-18,BEAUTY15,C2006,80.00,newsletter,email,weekly_drop
M2026-03-0025,2026-03-21,BEAUTY15,C2007,88.00,tiktok,organic,beauty_spring
M2026-03-0026,2026-03-25,BEAUTY15,C2008,102.00,youtube,affiliate,beauty_codes
M2026-03-0027,2026-03-29,BEAUTY15,C2009,70.00,blog,referral,beauty_spring
M2026-03-0028,2026-03-03,TECH20,C3001,150.00,youtube,affiliate,tech_march
M2026-03-0029,2026-03-07,TECH20,C3002,180.00,reddit,referral,tech_march
M2026-03-0030,2026-03-12,TECH20,C3003,140.00,newsletter,email,weekly_drop
M2026-03-0031,2026-03-17,TECH20,C3004,200.00,blog,referral,tech_march
M2026-03-0032,2026-03-22,TECH20,C3005,130.00,youtube,affiliate,tech_march
M2026-03-0033,2026-03-27,TECH20,C3006,175.00,reddit,referral,tech_march
M2026-03-0034,2026-03-01,LENA10,C4001,100.00,instagram,organic,lifestyle_drop
M2026-03-0035,2026-03-06,LENA10,C4002,95.00,blog,referral,lifestyle_drop
M2026-03-0036,2026-03-11,LENA10,C4003,110.00,newsletter,email,weekly_drop
M2026-03-0037,2026-03-20,LENA10,C4004,85.00,instagram,organic,lifestyle_drop
M2026-03-0038,2026-03-29,LENA10,C4005,120.00,tiktok,organic,lifestyle_drop
M2026-03-0039,2026-03-04,MIKE5,C5001,60.00,instagram,organic,micro_codes
M2026-03-0040,2026-03-15,MIKE5,C5002,75.00,blog,referral,micro_codes
M2026-03-0041,2026-03-26,MIKE5,C5003,55.00,newsletter,email,weekly_drop
M2026-03-0042,2026-03-05,BENDEAL,C6001,70.00,coupon_site,affiliate,deal_roundup
M2026-03-0043,2026-03-22,BENDEAL,C6002,65.00,coupon_site,affiliate,deal_roundup
M2026-03-0044,2026-03-09,SPAM999,C7001,50.00,tiktok,paid,burst_campaign
