date,campaign,conversions,revenue,currency
2021-06-14,Search - Brand,320,6400,EUR
2021-06-14,Search - NonBrand,50,1100,USD
2021-06-14,Display - Retargeting,70,1400,GBP
2021-06-15,Search - Brand,330,6600,EUR
2021-06-15,Search - NonBrand,52,1120,USD
2021-06-15,Display - Retargeting,72,1440,GBP
2021-06-16,Search - Brand,325,6500,EUR
2021-06-16,Search - NonBrand,51,1110,USD
2021-06-16,Display - Retargeting,71,1420,GBP
2021-06-19,Search - Brand,180,3600,EUR
2021-06-19,Search - NonBrand,26,560,USD
2021-06-21,Search - Brand,350,7000,EUR
2021-06-21,Search - NonBrand,54,1150,USD
2021-06-21,Display - Retargeting,75,1500,GBP
2021-06-22,Search - Brand,345,6900,EUR
2021-06-22,Search - NonBrand,53,1130,USD
2021-06-22,Display - Retargeting,74,1480,GBP
2021-06-27,Search - NonBrand,28,600,USD
2021-06-27,Display - Retargeting,60,1200,GBP
