id,title,tags,audience,keywords
1,Imam Shamil's Early Leadership in Avaria,leadership;Avar;biography,undergraduates,Imam Shamil;Avaria;military tactics
2,Naqshbandi Tariqa and the Murid Movement,religion;Sufism;social,general_public,
3,Russo-Caucasian Military Strategies (1830s),military;strategy;Russian Empire,peers,fortified lines;cordon system
4,Legal Institutions of the Imamate: Sharia and Adat,law;institutions;conflict,undergraduates,adat;sharia;customary law
5,Dagestan and Chechnya: Local Networks of Authority,Dagestan;Chechnya;political,general_public,
6,Primary Sources: Letters of Shamil and Naibs,primary_sources;letters;diplomacy,peers,archival;translation
7,Economic Life under the Imamate,economy;taxation;livelihoods,general_public,
8,Historiography: Soviet and Post-Soviet Narratives,historiography;memory;methodology,peers,narratives;scholarship
9,Gender and Participation in the Caucasian Resistance,gender;social;participation,undergraduates,
10,Geography and Fortifications of the Caucasus,geography;fortifications;terrain,general_public,Itum-Kale;Gimry;mountain warfare
