date,description,category,currency,amount,vendor
2021-10-15,Textbook purchase,Books,USD,59.99,Amazon Books
2021-11-02,Café with study group,Dining,EUR,12.50,Cafe Bar
2022-01-12,Physiology lab fee,Education,EUR,150.00,Uni Fees
2022-03-05,Used physiology book,Books,GBP,22.40,Book Depository
2022-06-12,Notebook and pen,Books,EUR,8.20,Stationery Shop
2022-09-18,Monthly tram pass,Transport,EUR,30.00,ZET
2022-11-20,Groceries,Groceries,EUR,42.75,Konzum
2022-03-10,E-book on neurophysiology,Books,USD,14.99,Amazon Books
2021-12-28,Gift book,Books,GBP,18.00,Školska Knjiga
2022-02-27,Rent,Rent,EUR,250.00,Landlord
2022-07-03,Second-hand fiction,Books,EUR,5.00,Antikvarijat
2022-10-08,Course subscription,Education,USD,35.00,Online Course
2022-05-15,Lunch on campus,Dining,EUR,9.80,Mensa
2022-04-23,Paper and toner,Other,EUR,21.00,Stationery Shop
