id,title,domain,modality,engine,status,cost_usd,deployment_time_days,participants,metric_time_saved_percent,metric_error_reduction_percent,year,description
P001,VR Forklift Safety Trainer,manufacturing,VR,Unity,deployed,45000,45,120,35,40,2022,Immersive VR scenarios for forklift operation and warehouse floor safety.
P002,AR Maintenance Overlay for HVAC,industrial,AR,Unreal Engine,pilot,30000,30,20,25,30,2023,Hands-free AR annotations for field maintenance tasks on HVAC units.
P003,MR Assembly and Maintenance Guidance,manufacturing,MR,Unity,deployed,60000,60,50,30,35,2021,Mixed reality guidance for safe assembly steps and maintenance checklists on the line.
P004,VR Emergency Response for Hospital,healthcare,VR,Unreal Engine,deployed,70000,50,80,20,20,2021,Training clinicians on ER triage in mass-casualty scenarios.
P005,AR Warehouse Inventory Scanning,logistics,AR,WebXR,pilot,15000,20,15,15,20,2022,AR barcode scanning and location guidance for pickers.
P006,VR Welder Training Simulator,industrial,VR,Unreal Engine,deployed,50000,55,45,30,45,2020,Safety-focused VR simulator for welding technique and equipment handling.
P007,AR Factory Equipment Setup Assist,manufacturing,AR,Unity,pilot,28000,25,25,22,28,2023,Step-by-step AR instructions for equipment setup and routine maintenance.
P008,MR Turbine Maintenance Support,energy,MR,Unity,pilot,65000,65,10,28,38,2022,Hands-free MR overlay for turbine maintenance and inspection.
P009,VR Office Ergonomics Training,corporate,VR,Godot,deployed,12000,15,200,12,18,2023,Short VR modules teaching safe desk setup.
P010,AR Machine Calibration Assist,manufacturing,AR,Godot,deployed,20000,22,30,18,22,2021,AR calibration steps for machining centers and maintenance tuning.
P011,VR Chemical Handling Safety,manufacturing,VR,Unreal Engine,pilot,40000,40,60,32,45,2022,Virtual safety training for chemical PPE and spill response.
P012,AR Quality Inspection Guidance,manufacturing,AR,Unity,deployed,35000,35,45,20,28,2023,AR overlay for inspection criteria and preventive maintenance indicators.
