ASIN,product_name,category,monthly_orders,avg_delivery_days,last_30d_reviews,star_rating,existing_message
B0E1ELEC01,VoltStream USB-C Hub 8-in-1,Electronics,300,5,3,4.1,"Thanks for choosing the VoltStream USB-C Hub 8-in-1. If you're happy, please leave a 5-star review to support our small business!"
B0E1ELEC02,SonicWave Noise-Canceling Headphones,Electronics,300,6,12,4.4,"Hi there! Thanks for ordering SonicWave Noise-Canceling Headphones. We hope the sound and comfort meet your needs. When you have a moment, we'd appreciate your honest feedback to help other customers. Thank you either way."
B0K1KITCH01,ChefPro Nonstick Fry Pan 12-inch,Kitchenware,240,3,12,4.5,"Hello! Hope your ChefPro Nonstick Fry Pan 12-inch is cooking evenly. If you can, we'd appreciate an honest review about your experience. No pressure - thanks for being a customer!"
B0A1APP01,TrailFlex Running Socks 3-Pack,Apparel,160,4,2,4.2,"Thanks for purchasing TrailFlex Running Socks 3-Pack. Leave a review and get 10% off your next order!"
B0B1BEAUTY01,PureGlow Vitamin C Serum 30ml,Beauty/Personal Care,200,4,0,4.0,"We hope you're enjoying PureGlow Vitamin C Serum 30ml. We'd love your honest feedback when you've tried it for a few days."
B0T1TOY01,RoboRanger STEM Kit,Toys/Games,105,5,2,4.6,"Enjoying the RoboRanger STEM Kit? Leave a review and we'll send you a coupon for your next purchase."
B0S1SPORT01,AeroFit Yoga Mat 6mm,Sports/Outdoors,80,3,4,4.3,"Thanks for choosing the AeroFit Yoga Mat 6mm. If you have a minute, please share your honest feedback about the mat's grip and comfort. Your experience - good or bad - helps other shoppers."
B0BK1BOOK01,Quiet Design: A Guide to Minimalist Homes,Books,100,2,1,4.7,"If you're happy with Quiet Design: A Guide to Minimalist Homes, please leave a positive review."
B0K1KITCH02,SwiftChop Manual Food Chopper,Kitchenware,90,4,0,4.1,"Thanks for buying the SwiftChop Manual Food Chopper. Feel free to update your review if we resolved your issue."
B0E1ELEC03,HomeSight Smart Plug 2-Pack,Electronics,50,5,1,4.0,"Hope the HomeSight Smart Plug 2-Pack is simplifying your routine. If you have a moment, an honest review would be appreciated. No pressure at all."
