part_number,vendor,socket,cores,base_clock_GHz,boost_clock_GHz,TDP_W,L3_cache_MB,price_USD,stock,ECC_support,process_nm,PCIe_version,launch_year
INT-12700K-E,VendorA,LGA1700,12,3.6,5.0,125,25,380,20,false,10,5.0,2022
INT-13500-E,VendorB,LGA1700,14,2.5,4.8,65,24,320,50,false,10,5.0,2023
INT-13900-WS,VendorC,LGA1700,24,2.2,5.6,125,36,589,12,true,10,5.0,2023
INT-12500T-ECC,VendorD,LGA1700,6,2.0,4.6,35,18,240,30,true,10,4.0,2022
XEON-W-1290,VendorE,LGA1200,10,3.2,5.2,125,20,410,8,true,14,4.0,2021
XEON-W-1390,VendorE,LGA1200,8,2.8,5.1,80,16,380,5,true,14,4.0,2021
AMD-5700G-PRO,VendorF,AM4,8,3.8,4.6,65,16,299,25,true,7,3.0,2021
INT-13600-WS,VendorG,LGA1700,14,2.7,5.2,125,24,349,35,true,10,5.0,2023
INT-14600-WS,VendorG,LGA1700,14,3.5,5.3,125,24,379,10,true,7,5.0,2024
INT-14700-WS,VendorG,LGA1700,20,3.4,5.4,125,33,429,15,true,7,5.0,2024
INT-14900-WS,VendorG,LGA1700,24,3.2,6.0,125,36,599,8,true,7,5.0,2024
INT-13700-WS,VendorH,LGA1700,16,2.9,5.2,125,30,399,18,true,10,5.0,2023
INT-13500-WS,VendorH,LGA1700,14,2.5,4.8,65,24,329,40,true,10,5.0,2023
