date,amount,memo
2024-04-02,-900.00,Wages - DELTA PAYROLL PAYRUN 4821
2024-04-02,-350.00,Payroll taxes - PR 4821
2024-04-03,-650.25,Rent - METRO PROPERTIES INV 4001
2024-04-05,-100.00,Office coffee - FreshBean Coffee VEND2311
2024-04-05,-115.50,Client meeting coffee - FreshBean Coffee VEND2311
2024-04-07,1500.00,Customer receipt NORTHWIND STORES CUST7788 INV 7842
2024-04-10,-150.00,Shipping - Apex Logistics INV 9031
2024-04-10,-170.00,Freight - APEX LOGISTICS INV 9031
2024-04-11,-55.20,Utilities accrual - April
2024-04-12,-484.75,Federal Tax Payment BAT-5523
2024-04-15,-300.00,Greenleaf Foods supplies
2024-04-16,-210.00,Lab materials - Redstone Labs BAT-5627 Part A
2024-04-16,-210.00,Lab materials - Redstone Labs BAT-5627 Part B
2024-04-18,-275.40,Harbor Medical supplies
2024-04-20,842.35,Invoice payment RIVERTON SCHOOL CUST8899 INV 8009
2024-04-22,-50.00,Employee coffee - FreshBean Coffee
2024-04-22,-48.75,Employee coffee - FreshBean Coffee
2024-04-24,-650.00,Wages - DELTA PAYROLL PAYRUN 4822
2024-04-24,-350.00,Payroll taxes - PR 4822
2024-04-25,-399.99,Courier - Apex Logistics INV 9040
2024-04-27,800.00,Customer payment NORTHWIND STORES CUST7788 INV 7849 (part 1)
2024-04-27,400.00,Customer payment NORTHWIND STORES CUST7788 INV 7849 (part 2)
2024-04-29,-150.00,Redstone Labs equipment
2024-04-30,500.00,Customer receipt GREENLEAF FOODS CUST9012 INV 8110
2024-04-26,25.00,Bank interest income
