date,aircraft,scenario,location,notes
2025-01-05,B737,Navigation system outage,KSEA,"FMS frozen; reverted to raw data"
2025-01-07,B737,Crosswind landing,KLAX,"Gusts 25G35"
2025-01-08,B737,Engine failure on takeoff,KDEN,"V1 cut simulated"
2025-01-10,B737,Navigation system outage,KSFO,"IRS alignment fault"
2025-01-12,B737,GPS deviation,KSAN,"RNAV path offset"
2025-01-13,B737,Hydraulic failure,KPHX,"Loss of system B"
2025-01-14,B737,Navigation system outage,KLAS,"FMC CDU reboot mid-flight"
2025-01-16,B737,Crosswind landing,KBOS,"Runway 27, gusty crosswind"
2025-01-18,B737,Rapid decompression,KSEA,"Simulated oxygen use"
2025-01-20,B737,Engine failure on takeoff,KLAX,"Bird strike scenario"
2025-01-22,B737,Electrical fire,KSEA,"Smoke checklist run"
2025-01-24,B737,Navigation system outage,KDEN,"GNSS unavailable"
2025-01-26,B737,GPS deviation,KSFO,"RAIM warning"
2025-01-28,B737,Crosswind landing,KSAN,"Wind 300/28"
2025-01-30,B737,Engine failure on takeoff,KPHX,"Rejected takeoff practice"
2025-02-01,B737,Hydraulic failure,KLAX,"Standby pump ops"
2025-02-03,B737,Crosswind landing,KSEA,"Max demonstrated crosswind"
2025-02-05,B737,Navigation system outage,KBOS,"Multiple nav sources lost"
2025-02-06,B737,Engine failure on takeoff,KSFO,"V1 cut in sim"
2025-02-08,B737,Crosswind landing,KDEN,"Runway 35R with gusts"
2025-02-10,B737,GPS deviation,KLAS,"RNP approach deviation"
2025-02-12,B737,Rapid decompression,KPHX,"Mask on, emergency descent"
2025-02-14,B737,Short-field landing,KSAN,"Braking action fair"
2025-02-16,B737,Navigation system outage,KLAX,"VOR only navigation"
