category,process,current_state,hours_per_week,notes
Communication & Email,Email triage for support escalations and CSM follow-ups,"Manual triage in Gmail and Zendesk; CSMs hand-label accounts, escalate by forwarding emails",60,"High-volume inboxes; inconsistent tags; relies on human judgment; opportunity for NLP-based routing"
Communication & Email,Meeting scheduling & follow-ups (Sales/CSMs),"Calendar back-and-forth; manual follow-up templates sent via Gmail and HubSpot",30,"High no-show reduction potential with automated nudges and calendar links"
Communication & Email,Internal release notifications drafting,"PMs draft release notes and Slack announcements manually",10,"Repetitive summarization from Jira tickets and release PRs"
Data Entry & Processing,CRM data hygiene (HubSpot property updates from product events),"Weekly exports from Segment/Amplitude reviewed and imported to HubSpot",25,"Duplicate records; misses real-time signals; error-prone CSV mapping"
Data Entry & Processing,Expense receipt OCR and categorization QA,"Ops reviews OCR results and fixes misclassified categories in QBO",20,"Images via email and mobile app; 15–20% require manual correction"
Data Entry & Processing,Weekly metrics report compilation (Looker to slides),"Analyst compiles KPIs from Looker and pastes into Google Slides",18,"Static decks; manual screenshots; no automation pipeline"
Customer Operations,Lead qualification and routing,"Rules in HubSpot partially implemented; many leads require manual review",22,"Edge cases for industry/employee size; enrichment delays"
Customer Operations,Onboarding checklist orchestration,"CSM uses Notion templates and Slack pings for tasks and reminders",28,"Multiple systems (Notion, Slack, HubSpot); missed steps cause delays"
Customer Operations,Support ticket triage,"Zendesk triggers not fine-tuned; agents manually set priority and assign",35,"SLA breaches risk; repetitive classification by theme"
Document Management,Contract data extraction into CRM (DocuSign to HubSpot),"After signature, ops copy deal terms (start date, ARR, renewal) to HubSpot",18,"Frequent transcription errors; no API extraction in place"
Document Management,Policy document version control and approvals,"Compliance updates in Notion; approvals tracked in Slack",8,"Audit trail fragmented; needs structured workflow"
Financial Operations,Billing reconciliation (Stripe to QuickBooks Online),"(Stripe payouts) vs (QBO deposits) matched weekly by ops",24,"Disputes and refunds complicate matching; manual spreadsheet"
Financial Operations,Collections reminder emails,"A/R specialist sends dunning emails manually from templates",12,"Payment links via Stripe; inconsistent schedule and tone"
HR & People Ops,Resume screening and interview scheduling,"Lever inbound resumes screened by HR; scheduling via email/Calendar",15,"High volume for engineering roles; repetitive coordination"
HR & People Ops,Time-off management approvals & payroll sync,"Approvals in Rippling; manual check against schedules; payroll updates weekly",10,"Edge cases for carryover; manual exports"
Sales & Marketing,Lead enrichment (Apollo/LinkedIn to HubSpot),"SDRs enrich leads with Apollo and LinkedIn; copy fields into HubSpot",14,"Missing fields delay outreach; repetitive lookups"
Sales & Marketing,Campaign performance reporting,"Marketing pulls HubSpot/Looker data into Google Sheets weekly",8,"Static reports; manual formatting; opportunity for dashboards"
IT & Security,Access provisioning/deprovisioning via Okta,"Jira tickets processed by IT; Okta group updates done manually",9,"Onboarding/offboarding spikes; needs workflow automation"
IT & Security,Vendor risk questionnaire responses templating,"Security team responds to standardized questionnaires manually",6,"Repetitive answers exist in Vanta/Notion but not auto-populated"
