date,vendor,description,currency,amount
2023-06-15,Hotel Aurora,Lodging for Brussels trip,EUR,185.40
2023-06-16,Metro STIB,Local transport,EUR,14.20
2023-06-17,Cafe du Parc,Working breakfast,EUR,23.80
2023-07-02,Black Cab Co.,Airport transfer,GBP,58.00
2023-07-03,The King’s Arms,Team dinner,GBP,120.50
2023-07-04,City Parking,Parking fee,USD,47.30
2023-08-20,Airline Intl,Baggage fee,USD,35.00
2023-08-21,Hotel Centrale,Lodging for Milan meeting,EUR,210.00
2023-08-25,Rail UK,Train to Oxford,GBP,32.40
2023-09-01,Press House,Coffee with press,EUR,12.50
2023-09-05,Taxi Roma,Local transport,EUR,18.00
2023-09-10,London Underground,Tube fare,GBP,7.20
