name,brand,fiber,ply,yardage_yards,price_usd,rating,notes
Soft Touch Worsted,Magnolia Mills,Merino wool,4,220,14.50,4.8,Spring colors; minimal pilling
Bluebonnet Sock,Lone Star Fibers,Superwash merino/nylon 75/25,4,463,19.00,4.6,Good stitch definition
Cotton Cloud DK,Peach Tree Textiles,Cotton,3,230,8.00,4.1,Summer tops
Budget Acrylic,Bargain Basket,Acrylic,4,200,3.00,3.2,Scratchy; good for practice
Alpaca Whisper,Andean Trails,Baby alpaca,2,218,16.00,4.7,Halo; drapey
Heritage Heirloom Aran,Hearth & Home,Wool,4,180,9.50,4.3,Sturdy
Bluegrass Tweed,Riverbend Spinners,Wool/viscose neps,4,200,12.00,4.5,Classic tweed flecks
Silky Lace,Magnolia Mills,Silk/merino 50/50,2,440,22.00,4.4,Shine; delicate
Farmhouse Cotton,Homestead Co.,Cotton,4,120,4.00,3.9,Dishcloth favorite
Cashmere Kiss,Velvet Flock,Cashmere,2,150,28.00,4.9,Luxury treat
Rustic Linen Blend,Hearth & Home,Linen/cotton 60/40,3,205,9.00,4.0,Great for tea towels
Mystery Mill End,Grab Bag,?,4,,5.00,,No label; unknown yardage
