id,title,artist,country,city,year,theme
1,Echoes of Industry,Anna Petrova,Russia,Moscow,2018,Industrial
2,New Horizons,Serhiy Bondar,Ukraine,Kyiv,2018,Abstract
3,Memory Lines,Inga Ozola,Latvia,Riga,2018,Conceptual
4,Common Ground,Jonas Petrauskas,Lithuania,Vilnius,2019,Abstract
5,Factory Dreams,Dmitry Sokolov,Russia,St. Petersburg,2019,Industrial
6,Afterimages,Olena K.,Ukraine,Lviv,2019,Conceptual
7,Peripheral Light,Maris B.,Latvia,Daugavpils,2019,Abstract
8,Silent City,Anna Petrova,Russia,Moscow,2020,Urban
9,Threshold,Kateryna M.,Ukraine,Kyiv,2020,Abstract
10,Archive Fever,Milda S.,Lithuania,Kaunas,2020,Conceptual
11,Drift,Tamar G.,Georgia,Tbilisi,2019,Abstract
12,Breath,Aram H.,Armenia,Yerevan,2020,Conceptual
13,Blue Steppe,Altynai A.,Kazakhstan,Almaty,2018,Landscape
14,Concrete Verse,Aziza N.,Uzbekistan,Tashkent,2019,Industrial
15,Border Notes,Irina B.,Belarus,Minsk,2020,Conceptual
16,Old Walls,Elchin R.,Azerbaijan,Baku,2018,Urban
17,Port City,Juhan E.,Estonia,Tallinn,2019,Urban
18,Shoreline,Victor C.,Moldova,Chisinau,2018,Landscape
19,Transit,Adilet T.,Kyrgyzstan,Bishkek,2020,Abstract
