intent_id,intent_name,english_text
1,password_reset,"I can't log in to my account; can you reset my password?"
2,speak_to_agent,"I want to talk to a human representative."
3,order_status,"What's the status of my order #48291?"
4,billing_issue,"I was charged twice on my last bill."
5,cancel_subscription,"Please cancel my subscription effective immediately."
6,tech_support,"The app keeps crashing when I try to open it."
7,refund_request,"I'd like to request a refund for the last charge."
8,update_address,"I need to update the shipping address on my account."
9,lost_card,"I lost my card and need to report it stolen."
10,schedule_callback,"Can you schedule a callback for tomorrow morning?"
11,outage_report,"Is there an outage in my area right now?"
12,wrong_charge,"There's a charge I don't recognize on my statement."
13,escalate_complaint,"I'd like to escalate this complaint to a supervisor."
14,change_plan,"I want to change my plan to the premium tier."
15,transfer_to_spanish,"Could you transfer me to a Spanish-speaking agent?"
