date,category,item,amount_usd,notes
2025-01-15,Seed,Certified seed,14500,"Deltapine varieties"
2025-02-10,Fertilizer,Nitrogen & potash,18250,"Pre-plant and side-dress"
2025-03-05,Chemicals,Herbicide & pesticide,9750,"Weed and bollworm control"
2025-04-12,Fuel,Diesel,6200,"Field prep and planting"
2025-05-20,Labor,Seasonal labor,12800,"Planting and early cultivation"
2025-06-18,Irrigation,Water & power,9300,"June-July irrigation"
2025-07-02,Equipment Lease,Planter & picker lease,15500,"Season lease"
2025-08-09,Maintenance,Parts & repairs,4100,"Mid-season repairs"
2025-09-14,Insurance,Crop insurance premium,7600,"MPCI"
2025-10-22,Ginning,Ginning fees,22000,"Estimate based on prior years"
2025-10-28,Trucking,Haul to gin/mill,6800,"Local hauls"
2025-11-15,Land Rent,Cash rent,24000,"Annual"
2025-12-01,Interest,Operating loan interest,5100,"Carry costs"
