date,vendor,amount
2025-01-02,Netflix,15.49
2025-01-05,Nike.com,45.00
2025-01-10,DISNEY+,13.99
2025-01-12,Spotify,9.99
2025-01-18,Disney Merch,27.50
2025-01-22,Nike Store,92.50
2025-01-28,Hasbro Online,29.95
2025-02-02,Netflix,15.49
2025-02-09,Disney Plus,13.99
2025-02-12,Spotify,9.99
2025-02-18,Nike Store,65.00
2025-02-20,Hasbro Pulse,49.99
2025-02-25,Hasbro Online,19.99
2025-03-03,Netflix,15.49
2025-03-08,DISNEY+,13.99
2025-03-12,Spotify,9.99
2025-03-16,Nike Factory Store,120.00
2025-03-22,Hasbro Online,24.99
2025-03-28,SPOTIFY,9.99
2025-03-30,NETFLIX,15.49
