id,title,year,country,genre,episodes,minutes_per_episode,platform,my_rating,date_started,date_finished,notes_to_friend
1,Crash Landing on You,2019,South Korea,Romance,16,75,Netflix,9.5,2023-01-10,2023-01-28,"omg this had me crying lol the leads are sooo cute!!! kinda slow ep1-2 but then wow. I told Jess all the twisty stuff (oops spoilers)."
2,Itaewon Class,2020,South Korea,Drama,16,70,Netflix,8.7,2023-02-05,2023-02-18,"loved the underdog vibes; some pacing issues tbh; Park Sae‑ro‑yi is a KING. would recommend? maybe."
3,Goblin (Guardian: The Lonely and Great God),2016,South Korea,Fantasy,16,75,Viki,9.2,2023-03-01,2023-03-20,"beautiful cinematography!!! i rambled for 3 paragraphs to Mina about ep13… too many tears 😭 pls bring tissues."
4,Vincenzo,2021,South Korea,Crime,20,80,Netflix,8.9,2023-04-02,2023-04-30,"mafia + comedy chaos. dark but funny. kinda violent, told my cousin about THAT scene—probably spoiled it 🙈"
5,Hospital Playlist,2020,South Korea,Medical,12,90,Netflix,9.0,2023-05-10,2023-05-28,"comfort show vibes; band scenes >>>; i wrote super long notes, sorry future me 😂"
6,Reply 1988,2015,South Korea,Slice of Life,20,90,Viki,9.6,2023-06-05,2023-07-10,"neighborhood warmth! I screamed about the husband mystery in caps to Amy. nostalgia overload."
7,Kingdom,2019,South Korea,Thriller,12,55,Netflix,8.8,2023-08-01,2023-08-10,"zombies + sageuk = yes pls. intense!!! told Dan what happens in ep2 (ugh, spoilers again)."
8,Start-Up,2020,South Korea,Romance,16,80,Netflix,8.2,2023-09-02,2023-09-20,"love triangle energy... team good boy or not? I kept repeating myself in our chat haha."
9,My Mister,2018,South Korea,Drama,16,75,Viki,9.7,2023-10-01,2023-10-22,"quiet, healing, deep. I almost wrote an essay. heavy themes—handle with care."
10,Alice in Borderland,2020,Japan,Thriller,8,50,Netflix,8.0,2023-11-05,2023-11-12,"non‑K but wild ride. told spoilers to Ben lol. fast paced!!"
