id,title,type,value,effort_points,notes
BL-001,GDPR consent banner,feature,9,5,"Mandatory for compliance; time-critical before EU campaign"
BL-002,Email verification,feature,8,5,"Reduce spam/abuse; unlock onboarding metrics; send verification after signup"
BL-003,Fix SSO logout bug,bug,9,3,"Users cannot reliably log out when using SSO; high support volume"
BL-004,Confetti animation,feature,4,2,"Delighter after task completion; marketing requested; not critical"
BL-005,Offline mode v1,feature,7,13,"Too large for single sprint; consider split: view cached tasks, sync on reconnect"
BL-006,Advanced analytics dashboard,feature,8,13,"Large effort; consider split: KPIs, filters, export, performance"
BL-007,Bulk import with field mapping,feature,7,10,"Large; split by CSV import, map fields, preview & validation"
BL-008,Admin audit log,technical,8,8,"Security/compliance; record admin actions (create/delete users, role changes)"
BL-009,Two-factor authentication (MFA),feature,7,8,"Security improvement; consider after email verification"
BL-010,API rate limiting,technical,7,5,"Risk reduction; guardrails against abuse; configurable thresholds"
BL-011,Improve onboarding checklist,feature,6,5,"Guide new users to first value; small UX lift"
BL-012,Invitation email deliverability improvements,technical,6,3,"Align DKIM/SPF; template updates; reduce bounces"
BL-013,Project templates,feature,5,5,"Predefined templates for common workflows; improves adoption"
BL-014,Mobile push notifications,feature,6,8,"Notify on mentions/deadlines; requires mobile app hooks"
BL-015,SSO session timeout configuration,feature,6,5,"Allow admins to set session timeouts; related to SSO stability"
