item_name,new_room,box_label
MacBook Pro 2023,Home Office,BX-101
Samsung 65in QLED TV,Living Room,BX-102
HDMI Cable (6ft) - Black 1,Living Room,BX-103
HDMI Cable (6ft) - Black 2,Living Room,BX-103
HDMI Cable (6ft) - Black 3,Living Room,BX-103
Dyson V11 Vacuum,Laundry,BX-104
DeWalt Cordless Drill,Garage,BX-105
Acoustic Guitar - Taylor 214ce,Bedroom,BX-106
Road Bike - Trek FX 3,Garage,BX-201
Snowblower - Toro Power Max,Garage,BX-202
Bosch Dishwasher,Kitchen,BX-301
Solid Wood Dining Table,Dining Room,BX-401
