purchase_date,item,brand,category,material,price_usd,qty
2025-01-12,Graphic Tee,QuickTrend,Tops,polyester,12.99,1
2025-01-25,Skinny Jeans,UrbanBasics,Bottoms,cotton,29.99,1
2025-02-07,Winter Sweater,StyleWave,Tops,acrylic,24.50,1
2025-02-22,Sports Leggings,QuickTrend,Activewear,nylon,19.99,1
2025-03-03,Button-down Shirt,OfficeEase,Tops,cotton,34.00,1
2025-03-19,Slip Dress,NightBloom,Dresses,viscose,27.00,1
2025-04-02,Denim Jacket,UrbanBasics,Outerwear,cotton,45.00,1
2025-04-18,Ankle Socks Pack,QuickTrend,Accessories,polyester,9.99,3
2025-05-05,Cardigan,CozyHome,Tops,wool,59.00,1
2025-05-21,Swim Trunks,Sun&Sand,Swimwear,polyamide,22.00,1
2025-06-10,Summer Shorts,UrbanBasics,Bottoms,linen,38.00,1
2025-06-25,Graphic Tee,QuickTrend,Tops,polyester,12.50,1
