month,region,active_users,teams_feature_users,core_feature_events,teams_feature_events,pct_teams_plan,revenue_usd
2025-10,NA,60000,9000,1200000,180000,15.0,720000
2025-10,EMEA,40000,4800,800000,90000,12.0,420000
2025-10,APAC,35000,3500,700000,70000,10.0,320000
2025-10,Global,135000,17300,2700000,340000,12.8,1460000
2025-11,NA,61000,9800,1230000,200000,16.0,740000
2025-11,EMEA,41000,5200,820000,100000,13.0,435000
2025-11,APAC,36000,4000,720000,80000,11.0,335000
2025-11,Global,138000,19000,2770000,380000,13.8,1510000
2025-12,NA,63000,10800,1270000,230000,17.0,780000
2025-12,EMEA,42000,5800,840000,115000,14.0,455000
2025-12,APAC,37000,4700,740000,95000,13.0,355000
2025-12,Global,142000,21300,2850000,440000,15.1,1590000
2026-01,NA,64000,12000,1290000,260000,18.0,810000
2026-01,EMEA,43000,6500,860000,130000,15.0,480000
2026-01,APAC,37500,5300,750000,110000,14.0,370000
2026-01,Global,144500,23800,2900000,500000,16.1,1660000
2026-02,NA,65500,13200,1310000,290000,19.0,845000
2026-02,EMEA,44000,7300,875000,150000,17.0,505000
2026-02,APAC,38000,6500,760000,135000,17.0,395000
2026-02,Global,147500,27000,2945000,575000,17.9,1745000
2026-03,NA,66000,14000,1320000,310000,20.0,870000
2026-03,EMEA,44000,8000,880000,165000,18.0,520000
2026-03,APAC,38000,6100,735000,110000,16.0,385000
2026-03,Global,148000,28100,2935000,585000,18.4,1775000
