post_id,platform,hashtag,likes,shares,comments,date
p001,TikTok,#tonga,1200,150,45,2024-08-01
p002,Instagram,#islandlife,800,60,30,2024-08-02
p003,YouTube,#polynesian,1500,200,80,2024-08-02
p004,TikTok,#dancechallenge,2000,300,100,2024-08-03
p005,Instagram,#tonga,700,55,22,2024-08-03
p006,TikTok,#tonga,1100,140,40,2024-08-04
p007,YouTube,#dancechallenge,1800,250,95,2024-08-04
p008,Instagram,#polynesian,900,80,35,2024-08-05
p009,TikTok,#islandlife,950,90,28,2024-08-05
p010,TikTok,#tonga,1300,160,50,2024-08-06
p011,Instagram,#dancechallenge,1700,220,88,2024-08-06
p012,YouTube,#tonga,1400,180,60,2024-08-07
p013,Instagram,#islandlife,850,70,32,2024-08-07
p014,TikTok,#polynesian,1000,120,40,2024-08-07
p015,YouTube,#tonga,1350,175,58,2024-08-08
p016,Instagram,#tonga,750,65,24,2024-08-08
p017,TikTok,#islandlife,980,95,31,2024-08-09
p018,YouTube,#polynesian,1600,210,85,2024-08-09
p019,Instagram,#dancechallenge,1650,230,90,2024-08-10
p020,TikTok,#tonga,1250,155,48,2024-08-10
