motif,notes
the hush after the foghorn,Use to signal a charged pause where something unsaid lives in the air.
the wrong hour on the clock,Appears at dusk in shop windows; a clue to temporal slippage.
moths at the glass,Evokes the lighthouse lens or radio booth window during late-night scenes.
tide-stained paper,Letters and notes carry brine-dark edges; tangible clue-piece.
a borrowed name,Whispered around identity and protection; central to the twist.
salt in the seams,Describe boats, coats, and old letters—grit of lived experience.
a lantern seen one beat too late,Foreshadows the seven-minute outage; regret and near-miss.
sea glass that remembers,Memory-object flashes; shows what's missing as a shape.
the compass that points home,Navigation motif; homeward pull instead of north.
footprints that fill with rain,Transience and witness—sign that someone passed.
radio static like rain,Auditory cue for time-slippage at WGHN.
the map drawn in negative space,Absence as clue: routes shown by what is left blank.
the bell that rings under water,Submerged memory, sound half-heard; harbor scene.
the rope that remembers knots,Hands know what minds forget; Jonah’s tactile memory.
