id,date,asker,category,likes,answered,question_text
Q1001,2025-03-07,Liam,Mental Toughness,78,yes,"How do you reset after a double fault on break point?"
Q1002,2025-03-08,Ava,Serve,65,yes,"What's your routine to hit a reliable second serve under pressure?"
Q1003,2025-03-08,Noah,Footwork,52,no,"Drills to stay balanced when pulled wide on hard courts?"
Q1004,2025-03-09,Mia,Strategy,81,yes,"Choosing patterns on deuce vs ad points vs lefty returners?"
Q1005,2025-03-10,Ethan,Nutrition,34,no,"Best between-set snacks to avoid energy dips?"
Q1006,2025-03-11,Sophia,Serve,72,yes,"Toss adjustments in windy conditions without rushing?"
Q1007,2025-03-12,Jackson,Mental Toughness,90,yes,"Breathing techniques you use on break points?"
Q1008,2025-03-13,Isabella,Strategy,58,no,"How to attack a big server's second serve?"
Q1009,2025-03-14,Lucas,Footwork,44,yes,"Split step timing against heavy topspin?"
Q1010,2025-03-15,Amelia,Equipment,27,no,"Overgrip choices to prevent sweat slips in heat?"
Q1011,2025-03-16,Benjamin,Strategy,69,yes,"Mixing drop shots at 30-30: smart or risky?"
Q1012,2025-03-17,Charlotte,Serve,61,yes,"Finding a kicker target to the backhand from ad court?"
Q1013,2025-03-18,Henry,Recovery,36,no,"Ice bath timing after long three-setters?"
Q1014,2025-03-19,Evelyn,Mental Toughness,88,yes,"Cues to keep focus after a controversial call?"
Q1015,2025-03-20,William,Strategy,77,yes,"Game plan adjustments mid-match when serve percentage dips?"
Q0994,2025-03-05,Sofia,Serve,55,yes,"Add 5km/h on first serve without losing percentage?"
Q0995,2025-03-03,Oliver,Footwork,41,no,"Improve recovery steps after wide forehand?"
Q0996,2025-03-01,Emma,Mental Toughness,62,yes,"Shake off nerves in first few games of a final?"
Q0997,2025-02-27,James,Equipment,22,no,"String tension for more control on slice backhand?"
Q0998,2025-02-25,Avery,Strategy,48,yes,"Serve+1 patterns on clay vs hard courts?"
Q0999,2025-02-23,Mila,Nutrition,31,no,"Hydration routine for afternoon matches?"
Q1000,2025-02-20,Lucas,Recovery,29,yes,"Stretching routine to prevent calf cramps?"
