film_title,creator_type,creator_handle,sentiment,credibility_score,review_date,notes
Sunset City,Critic,crit-alice,0.7,0.9,2023-10-10,Strong character study; nuanced direction.
Sunset City,Critic,crit-bob,0.6,0.85,2023-10-12,Technical polish, minor pacing issues.
Sunset City,YouTuber,yt-filmfan1,0.9,0.5,2023-10-11,"Hyped, crowd-pleaser vibes; limited analysis."
Sunset City,YouTuber,yt-quicktakes,0.8,0.45,2023-10-13,Short recap; sponsor-heavy.
Echoes of Silence,Critic,crit-carla,-0.2,0.88,2023-09-20,Overwrought; sound design stands out.
Echoes of Silence,Critic,crit-dan,-0.1,0.92,2023-09-22,Ambitious but uneven.
Echoes of Silence,YouTuber,yt-reactions,0.4,0.4,2023-09-21,Reaction-style; thin commentary.
Echoes of Silence,YouTuber,yt-reviewhub,0.3,0.55,2023-09-23,Highlights visuals; surface-level.
Neon Crossroads,Critic,crit-ellen,0.1,0.9,2023-11-05,Inventive but slight.
Neon Crossroads,Critic,crit-fred,0.0,0.86,2023-11-06,Stylish; script lacks depth.
Neon Crossroads,YouTuber,yt-popcorn,0.6,0.6,2023-11-07,Upbeat overview; fair detail.
Neon Crossroads,YouTuber,yt-filmbyte,0.7,0.65,2023-11-08,Good pacing; some analysis.
