student_id,grade,category,rating,response_text
1001,9,Social Media,5,"Instagram/TikTok keep pulling me in during work time."
1002,10,Messaging,4,"Group chats buzz constantly, hard to ignore."
1003,11,Gaming,5,"Browser games tempt me during independent study."
1004,12,Video Streaming,4,"I sneak short videos when I finish early."
1005,9,Notifications,5,"Pop-up notifications break my focus."
1006,10,Social Media,4,"I open social feeds without thinking."
1007,11,Messaging,3,"Friends DM in class."
1008,12,News,2,"I read headlines when bored."
1009,9,Social Media,5,"TikTok trends are distracting."
1010,10,Gaming,3,"Quick games during downtime."
1011,11,Messaging,3,"Choosing words for messages takes time."
1012,12,Video Streaming,3,"Short clips during breaks."
1013,9,Music,3,"I browse playlists instead of focusing."
1014,10,Social Media,4,"Checking updates mid-lesson."
1015,11,Messaging,4,"Snap messages pop up."
1016,12,Study Tools,2,"I tweak flashcards endlessly."
1017,9,Notifications,3,"System pings and badges."
1018,10,Social Media,5,"I feel FOMO with social apps."
1019,11,Gaming,4,"Esports news leads to games."
1020,12,News,1,"News videos autoplay."
