date,product,units,unit_price,cost_per_unit,revenue,gross_margin
2026-01-01,AquaBottle 500ml,8600,1.00,0.55,8600.00,3870.00
2026-01-01,AquaBottle 1L,5400,1.50,0.90,8100.00,3240.00
2026-01-01,Sparkling Lime 330ml,6000,1.20,0.70,7200.00,3000.00
2026-01-01,Energy Rush 250ml,3600,2.00,1.30,7200.00,2520.00
2026-02-01,AquaBottle 500ml,9000,1.00,0.55,9000.00,4050.00
2026-02-01,AquaBottle 1L,5600,1.50,0.90,8400.00,3360.00
2026-02-01,Sparkling Lime 330ml,6400,1.20,0.70,7680.00,3200.00
2026-02-01,Energy Rush 250ml,3400,2.00,1.30,6800.00,2380.00
2026-03-01,AquaBottle 500ml,9800,1.00,0.55,9800.00,4410.00
2026-03-01,AquaBottle 1L,6200,1.50,0.90,9300.00,3720.00
2026-03-01,Sparkling Lime 330ml,7000,1.20,0.70,8400.00,3500.00
2026-03-01,Energy Rush 250ml,3800,2.00,1.30,7600.00,2660.00
2026-04-01,AquaBottle 500ml,9600,1.00,0.55,9600.00,4320.00
2026-04-01,AquaBottle 1L,6000,1.50,0.90,9000.00,3600.00
2026-04-01,Sparkling Lime 330ml,6800,1.20,0.70,8160.00,3400.00
2026-04-01,Energy Rush 250ml,3700,2.00,1.30,7400.00,2590.00
2026-05-01,AquaBottle 500ml,11600,1.00,0.55,11600.00,5220.00
2026-05-01,AquaBottle 1L,7000,1.50,0.90,10500.00,4200.00
2026-05-01,Sparkling Lime 330ml,8400,1.20,0.70,10080.00,4200.00
2026-05-01,Energy Rush 250ml,4200,2.00,1.30,8400.00,2940.00
2026-06-01,AquaBottle 500ml,10600,1.00,0.55,10600.00,4770.00
2026-06-01,AquaBottle 1L,7000,1.50,0.90,10500.00,4200.00
2026-06-01,Sparkling Lime 330ml,8000,1.20,0.70,9600.00,4000.00
2026-06-01,Energy Rush 250ml,3950,2.00,1.30,7900.00,2765.00
