title,release_date,studio,studio_domain_hint
The Silent Current,2026-05-10,A24,a24films.com
Echoes of Neon,2026-05-20,Neon,neonrated.com
Starfall,2026-06-01,Warner Bros.,warnerbros.com
The Last Comet,2026-06-15,Universal Pictures,universalpictures.com
Blue Harbor,2026-04-25,Focus Features,focusfeatures.com
Midnight Ledger,2026-07-05,Sony Pictures,sonypictures.com
Ember Line,2026-05-30,Lionsgate,lionsgate.com
Orchard Road,2026-05-05,Searchlight Pictures,searchlightpictures.com
Velvet Signal,2026-08-12,Netflix,netflix.com
Paper Kingdom,2026-05-18,Paramount Pictures,paramount.com
