date,event_type,tickets_sold,tokens_spent,survey_rating
2025-01-14,Movie Marathon,120,4500,4.3
2025-02-11,Tournament Night,95,5200,4.6
2025-03-08,Retro Reel & High Score Night,110,6100,4.7
2025-04-12,Pinball Party,80,3000,4.1
2025-05-10,Movie Marathon,130,4800,4.4
2025-06-07,Retro Reel & High Score Night,105,5900,4.5
2025-07-05,Tournament Night,98,5400,4.6
2025-08-09,Pinball Party,85,3200,4.2
2025-09-06,Retro Reel & High Score Night,115,6300,4.8
2025-10-11,Movie Marathon,125,4700,4.3
2025-11-08,Tournament Night,90,5100,4.4
2025-12-06,Retro Reel & High Score Night,120,6400,4.9
2026-01-10,Movie Marathon,118,4600,4.2
2026-02-07,Tournament Night,92,5000,4.3
2026-03-07,Retro Reel & High Score Night,112,6150,4.7
2026-04-04,Pinball Party,88,3300,4.2
