URL,Title,Target Keywords,Intent,Notes,Last Updated
https://austinsolarspark.com/,Home - Austin Solar Spark,solar installation Austin|solar company Austin|solar panels Austin,Commercial,High-level overview of services and value props,2026-02-10
https://austinsolarspark.com/residential-solar-installation,Residential Solar Installation in Austin,residential solar Austin|home solar Austin|rooftop solar Austin,Commercial,Primary residential service page,2026-02-15
https://austinsolarspark.com/commercial-solar,Small Business Solar (<=50kW),commercial solar Austin|small business solar Austin,Commercial,Focus on small commercial up to 50kW,2026-01-28
https://austinsolarspark.com/battery-storage,Battery Storage Systems (Powerwall & Enphase),battery storage Austin|tesla powerwall Austin|solar batteries Austin,Commercial,Covers backup power and load shifting,2026-02-22
https://austinsolarspark.com/ev-charger-installation,EV Charger Installation,ev charger installation Austin|level 2 charger Austin,Commercial,Residential EV charging add-on,2026-01-12
https://austinsolarspark.com/solar-maintenance-cleaning,Solar Panel Maintenance & Cleaning,solar panel cleaning Austin|solar maintenance Austin,Commercial,Explains cleaning plans and diagnostics,2026-01-05
https://austinsolarspark.com/solar-incentives-austin,Incentives & Rebates in Austin,solar incentives Austin|federal tax credit solar|Austin Energy rebate,Informational,Explains incentives landscape (TX + federal),2026-03-01
https://austinsolarspark.com/solar-panel-cost-austin,Solar Panel Cost in Austin (2026 Guide),solar panel cost Austin|price of solar Austin|solar ROI Austin,Informational,Price ranges and payback examples,2026-03-08
https://austinsolarspark.com/about,About Austin Solar Spark,about our solar company|austin solar team,Navigational,Team bios and certifications,2025-12-17
https://austinsolarspark.com/contact,Contact Austin Solar Spark,contact|free solar quote Austin,Navigational,Lead capture and phone number,2026-02-01
https://austinsolarspark.com/blog/how-many-solar-panels-2000-sqft-austin,How Many Solar Panels for a 2,000 Sq Ft Home in Austin?,how many solar panels austin|system size calculator austin,Informational,Explains sizing assumptions and examples,2025-11-02
https://austinsolarspark.com/blog/austin-energy-solar-buyback-explained,Austin Energy Solar Buyback Explained,austin energy value of solar|buyback rate Austin,Informational,Utility program overview and math,2026-01-20
https://austinsolarspark.com/blog/solar-panel-cleaning-texas,Do Solar Panels Need Cleaning in Texas?,solar panel cleaning texas|performance loss dust,Informational,When cleaning matters and how to do it safely,2025-10-11
https://austinsolarspark.com/blog/battery-storage-basics,Solar Batteries 101 for Austin Homes,battery storage basics|backup power austin,Informational,Beginner’s guide to batteries and outages,2025-12-04
https://austinsolarspark.com/blog/ev-charger-installation-guide,Level 2 EV Charger Installation Guide,ev charger guide|home charger permit Austin,Informational,Step-by-step permitting and electrician scope,2026-02-18
https://austinsolarspark.com/blog/solar-payback-calculator-austin,Solar Payback: What to Expect in Austin,solar payback austin|solar ROI calculator,Informational,Explains variables and includes examples,2026-03-05
https://austinsolarspark.com/blog/roof-type-and-solar-austin,Best Roof Types for Solar in Austin,roof type solar austin|asphalt vs metal solar,Informational,Covers roof materials and mounting options,2025-09-22
https://austinsolarspark.com/blog/hail-damage-and-solar-austin,Hail, Insurance, and Solar Panels in Austin,hail damage solar austin|insurance claim solar,Informational,Claims process and panel durability,2026-01-30
https://austinsolarspark.com/blog/hoa-approval-solar-texas,HOA Approvals for Solar in Texas,hoa solar rights texas|hoa approval solar,Informational,HOA law and practical guidelines,2025-08-16
https://austinsolarspark.com/blog/solar-monitoring-apps,Top Solar Monitoring Apps Compared,solar monitoring apps|enphase vs tesla app,Comparison,App features and alerts overview,2026-02-25
