post_id,language,match_id,opponent,date,text,likes,shares,comments
1,ko,2024-QUAL-01,Japan,2024-03-24,"대~한민국! 수비가 벽이었어. 김민재 최고!",320,75,58
2,en,2024-QUAL-01,Japan,2024-03-24,"Proud of our Taeguk Warriors. Tactical discipline on point.",150,40,22
3,ko,2024-FRIEND-02,Germany,2024-03-19,"손흥민의 압박이 분위기를 바꿨다. 투혼!",280,60,41
4,en,2024-FRIEND-02,Germany,2024-03-19,"Korea pressed high and never gave up. Respect.",210,55,35
5,ko,2024-QUAL-02,Australia,2024-03-28,"태극전사들, 후반 체력이 빛났다. 애국가가 울려 퍼질 때 전율!",260,50,39
6,en,2024-QUAL-02,Australia,2024-03-28,"Second-half fitness sealed it. KOREA!",120,25,18
7,ko,2024-QUAL-03,China,2024-04-02,"중국전, 측면 침투가 신의 한 수. 다음은 월드컵이다!",300,70,52
8,en,2024-QUAL-03,China,2024-04-02,"Flank runs destroyed their lines. On to the World Cup!",160,45,20
9,ko,2024-QUAL-01,Japan,2024-03-24,"박스 안에서의 집중력, 애국심으로 뭉쳤다!",295,65,47
10,en,2024-FRIEND-03,USA,2024-04-06,"Solid friendly vs USA. Great test for the squad.",140,20,16
